prompt,label
"LEFT id: 495
RIGHT id: 159

LEFT phone: 415/362 -8286
RIGHT phone: 770-992-5383

LEFT category: ` greek and middle eastern ' 495
RIGHT category: NA

LEFT title: maykadeh
RIGHT title: NA

LEFT address: 470 green st. san francisco
RIGHT address: NA

LEFT addr: NA
RIGHT addr: 1087 green st.

LEFT city: NA
RIGHT city: roswell

LEFT class: NA
RIGHT class: 693

LEFT type: NA
RIGHT type: southern/soul
",n
"LEFT id: 32
RIGHT id: 270

LEFT phone: 212/355 -7555
RIGHT phone: 212-245-2214

LEFT category: asian 32
RIGHT category: NA

LEFT title: dawat
RIGHT title: NA

LEFT address: 210 e. 58th st. new york
RIGHT address: NA

LEFT addr: NA
RIGHT addr: 182 w. 58th st.

LEFT city: NA
RIGHT city: new york city

LEFT class: NA
RIGHT class: 52

LEFT type: NA
RIGHT type: russian
",n
"LEFT id: 449
RIGHT id: 290

LEFT phone: 702/731 -7525
RIGHT phone: 702-734-0410

LEFT category: ` only in las vegas ' 449
RIGHT category: NA

LEFT title: the bacchanal
RIGHT title: NA

LEFT address: 3570 las vegas blvd. s las vegas
RIGHT address: NA

LEFT addr: NA
RIGHT addr: 2880 las vegas blvd. s.

LEFT city: NA
RIGHT city: las vegas

LEFT class: NA
RIGHT class: 72

LEFT type: NA
RIGHT type: steakhouses
",n
"LEFT id: 159
RIGHT id: 56

LEFT phone: 818/784 -4400
RIGHT phone: 818-905-6515

LEFT category: italian 156
RIGHT category: NA

LEFT title: posto
RIGHT title: NA

LEFT address: 14928 ventura blvd. sherman oaks
RIGHT address: NA

LEFT addr: NA
RIGHT addr: 15322 ventura blvd.

LEFT city: NA
RIGHT city: encino

LEFT class: NA
RIGHT class: 590

LEFT type: NA
RIGHT type: ` hot dogs '
",n
"LEFT id: 423
RIGHT id: 124

LEFT phone: 702/252 -7737
RIGHT phone: 702-252-7697

LEFT category: italian 423
RIGHT category: NA

LEFT title: antonio \ s
RIGHT title: NA

LEFT address: 3700 w. flamingo las vegas
RIGHT address: NA

LEFT addr: NA
RIGHT addr: 3700 w. flamingo rd.

LEFT city: NA
RIGHT city: las vegas

LEFT class: NA
RIGHT class: 658

LEFT type: NA
RIGHT type: seafood
",n
"LEFT id: 338
RIGHT id: 259

LEFT phone: 212/245 -9600
RIGHT phone: 212-489-1515

LEFT category: american 338
RIGHT category: NA

LEFT title: ruth \ s chris
RIGHT title: NA

LEFT address: 148 w. 51st st. new york
RIGHT address: NA

LEFT addr: NA
RIGHT addr: 155 w. 51st st.

LEFT city: NA
RIGHT city: new york city

LEFT class: NA
RIGHT class: 41

LEFT type: NA
RIGHT type: seafood
",n
"LEFT id: 170
RIGHT id: 234

LEFT phone: 213/937 -5733
RIGHT phone: 213-467-1108

LEFT category: asian 167
RIGHT category: NA

LEFT title: tommy tang \ s
RIGHT title: NA

LEFT address: 7313 melrose ave. los angeles
RIGHT address: NA

LEFT addr: NA
RIGHT addr: 5955 melrose ave.

LEFT city: NA
RIGHT city: los angeles

LEFT class: NA
RIGHT class: 16

LEFT type: NA
RIGHT type: californian
",n
"LEFT id: 437
RIGHT id: 139

LEFT phone: 702/734 -0410
RIGHT phone: 702-739-4651

LEFT category: buffets 437
RIGHT category: NA

LEFT title: circus circus
RIGHT title: NA

LEFT address: 2880 las vegas blvd. s las vegas
RIGHT address: NA

LEFT addr: NA
RIGHT addr: 3645 las vegas blvd. s.

LEFT city: NA
RIGHT city: las vegas

LEFT class: NA
RIGHT class: 673

LEFT type: NA
RIGHT type: eclectic
",n
"LEFT id: 11
RIGHT id: 232

LEFT phone: 310/652 -9770
RIGHT phone: 310-659-9639

LEFT category: french 11
RIGHT category: NA

LEFT title: l \  orangerie
RIGHT title: NA

LEFT address: 903 n. la cienega blvd. los angeles
RIGHT address: NA

LEFT addr: NA
RIGHT addr: 129 n. la cienega blvd.

LEFT city: NA
RIGHT city: beverly hills

LEFT class: NA
RIGHT class: 14

LEFT type: NA
RIGHT type: seafood
",n
"LEFT id: 373
RIGHT id: 107

LEFT phone: 212/486 -9592
RIGHT phone: 212-687-4855

LEFT category: american 373
RIGHT category: NA

LEFT title: vong
RIGHT title: NA

LEFT address: 200 e. 54th st. new york
RIGHT address: NA

LEFT addr: NA
RIGHT addr: 210 e. 46th st.

LEFT city: NA
RIGHT city: new york city

LEFT class: NA
RIGHT class: 641

LEFT type: NA
RIGHT type: steakhouses
",n
"LEFT id: 444
RIGHT id: 290

LEFT phone: 702/794 -8200
RIGHT phone: 702-734-0410

LEFT category: mexican 444
RIGHT category: NA

LEFT title: margarita \ s mexican cantina
RIGHT title: NA

LEFT address: 3120 las vegas blvd. s las vegas
RIGHT address: NA

LEFT addr: NA
RIGHT addr: 2880 las vegas blvd. s.

LEFT city: NA
RIGHT city: las vegas

LEFT class: NA
RIGHT class: 72

LEFT type: NA
RIGHT type: steakhouses
",n
"LEFT id: 90
RIGHT id: 175

LEFT phone: 404/237 -2700
RIGHT phone: 404-814-1955

LEFT category: international 90
RIGHT category: NA

LEFT title: dining room ritz-carlton buckhead
RIGHT title: NA

LEFT address: 3434 peachtree rd. atlanta
RIGHT address: NA

LEFT addr: NA
RIGHT addr: 3391 peachtree rd. ne

LEFT city: NA
RIGHT city: atlanta

LEFT class: NA
RIGHT class: 709

LEFT type: NA
RIGHT type: steakhouses
",n
"LEFT id: 393
RIGHT id: 292

LEFT phone: 404/266 -1600
RIGHT phone: 404-261-8186

LEFT category: continental 393
RIGHT category: NA

LEFT title: dante \ s down the hatch buckhead
RIGHT title: NA

LEFT address: 3380 peachtree rd. atlanta
RIGHT address: NA

LEFT addr: NA
RIGHT addr: 2355 peachtree rd. ne

LEFT city: NA
RIGHT city: atlanta

LEFT class: NA
RIGHT class: 74

LEFT type: NA
RIGHT type: italian
",n
"LEFT id: 479
RIGHT id: 88

LEFT phone: 415/362 -0641
RIGHT phone: 212-874-2780

LEFT category: ` greek and middle eastern ' 479
RIGHT category: NA

LEFT title: helmand
RIGHT title: NA

LEFT address: 430 broadway san francisco
RIGHT address: NA

LEFT addr: NA
RIGHT addr: 2199 broadway

LEFT city: NA
RIGHT city: new york city

LEFT class: NA
RIGHT class: 622

LEFT type: NA
RIGHT type: cuban
",n
"LEFT id: 448
RIGHT id: 140

LEFT phone: 702/732 -6330
RIGHT phone: 702-891-7331

LEFT category: ` coffee shops/diners ' 448
RIGHT category: NA

LEFT title: ralph \ s diner
RIGHT title: NA

LEFT address: 3000 las vegas blvd. s las vegas
RIGHT address: NA

LEFT addr: NA
RIGHT addr: 3799 las vegas blvd. s.

LEFT city: NA
RIGHT city: las vegas

LEFT class: NA
RIGHT class: 674

LEFT type: NA
RIGHT type: italian
",n
"LEFT id: 530
RIGHT id: 327

LEFT phone: 415/922 -7788
RIGHT phone: 415-776-7825

LEFT category: french 530
RIGHT category: NA

LEFT title: yoyo tsumami bistro
RIGHT title: NA

LEFT address: 1611 post st. san francisco
RIGHT address: NA

LEFT addr: NA
RIGHT addr: 545 post st.

LEFT city: NA
RIGHT city: san francisco

LEFT class: NA
RIGHT class: 109

LEFT type: NA
RIGHT type: californian
",n
"LEFT id: 59
RIGHT id: 277

LEFT phone: 212/980 -9393
RIGHT phone: 212-980-9393

LEFT category: asian 59
RIGHT category: NA

LEFT title: seryna
RIGHT title: NA

LEFT address: 11 e. 53rd st. new york
RIGHT address: NA

LEFT addr: NA
RIGHT addr: 11 e. 53rd st.

LEFT city: NA
RIGHT city: new york city

LEFT class: NA
RIGHT class: 59

LEFT type: NA
RIGHT type: japanese
",y
"LEFT id: 405
RIGHT id: 148

LEFT phone: 404/355 -5993
RIGHT phone: 404-231-5907

LEFT category: continental 405
RIGHT category: NA

LEFT title: luna si
RIGHT title: NA

LEFT address: 1931 peachtree rd. atlanta
RIGHT address: NA

LEFT addr: NA
RIGHT addr: 4274 peachtree rd.

LEFT city: NA
RIGHT city: atlanta

LEFT class: NA
RIGHT class: 682

LEFT type: NA
RIGHT type: vegetarian
",n
"LEFT id: 446
RIGHT id: 131

LEFT phone: 702/791 -7111
RIGHT phone: 702-733-4524

LEFT category: asian 446
RIGHT category: NA

LEFT title: mikado
RIGHT title: NA

LEFT address: 3400 las vegas blvd. s las vegas
RIGHT address: NA

LEFT addr: NA
RIGHT addr: 3145 las vegas blvd. s.

LEFT city: NA
RIGHT city: las vegas

LEFT class: NA
RIGHT class: 665

LEFT type: NA
RIGHT type: ` french ( new ) '
",n
"LEFT id: 429
RIGHT id: 132

LEFT phone: 702/791 -7111
RIGHT phone: 702-791-7352

LEFT category: continental 429
RIGHT category: NA

LEFT title: bistro
RIGHT title: NA

LEFT address: 3400 las vegas blvd. s las vegas
RIGHT address: NA

LEFT addr: NA
RIGHT addr: 3400 las vegas blvd. s.

LEFT city: NA
RIGHT city: las vegas

LEFT class: NA
RIGHT class: 666

LEFT type: NA
RIGHT type: chinese
",n
"LEFT id: 207
RIGHT id: 187

LEFT phone: 212/924 -7653
RIGHT phone: 415-621-8579

LEFT category: mediterranean 205
RIGHT category: NA

LEFT title: cafe fes
RIGHT title: NA

LEFT address: 246 w. 4th st. at charles st. new york
RIGHT address: NA

LEFT addr: NA
RIGHT addr: 2298 market st.

LEFT city: NA
RIGHT city: san francisco

LEFT class: NA
RIGHT class: 722

LEFT type: NA
RIGHT type: californian
",n
"LEFT id: 446
RIGHT id: 139

LEFT phone: 702/791 -7111
RIGHT phone: 702-739-4651

LEFT category: asian 446
RIGHT category: NA

LEFT title: mikado
RIGHT title: NA

LEFT address: 3400 las vegas blvd. s las vegas
RIGHT address: NA

LEFT addr: NA
RIGHT addr: 3645 las vegas blvd. s.

LEFT city: NA
RIGHT city: las vegas

LEFT class: NA
RIGHT class: 673

LEFT type: NA
RIGHT type: eclectic
",n
"LEFT id: 18
RIGHT id: 56

LEFT phone: 818/990 -0500
RIGHT phone: 818-905-6515

LEFT category: french 18
RIGHT category: NA

LEFT title: pinot bistro
RIGHT title: NA

LEFT address: 12969 ventura blvd. los angeles
RIGHT address: NA

LEFT addr: NA
RIGHT addr: 15322 ventura blvd.

LEFT city: NA
RIGHT city: encino

LEFT class: NA
RIGHT class: 590

LEFT type: NA
RIGHT type: ` hot dogs '
",n
"LEFT id: 106
RIGHT id: 324

LEFT phone: 415/989 -7154
RIGHT phone: 415-989-7154

LEFT category: french 106
RIGHT category: NA

LEFT title: masa \ s
RIGHT title: NA

LEFT address: 648 bush st. san francisco
RIGHT address: NA

LEFT addr: NA
RIGHT addr: 648 bush st.

LEFT city: NA
RIGHT city: san francisco

LEFT class: NA
RIGHT class: 106

LEFT type: NA
RIGHT type: ` french ( new ) '
",y
"LEFT id: 438
RIGHT id: 136

LEFT phone: 702/731 -7888
RIGHT phone: 702-369-6300

LEFT category: asian 438
RIGHT category: NA

LEFT title: em press court
RIGHT title: NA

LEFT address: 3570 las vegas blvd. s las vegas
RIGHT address: NA

LEFT addr: NA
RIGHT addr: 3500 las vegas blvd. s.

LEFT city: NA
RIGHT city: las vegas

LEFT class: NA
RIGHT class: 670

LEFT type: NA
RIGHT type: californian
",n
"LEFT id: 47
RIGHT id: 265

LEFT phone: 212/807 -7400
RIGHT phone: 212-807-7400

LEFT category: american 47
RIGHT category: NA

LEFT title: mesa grill
RIGHT title: NA

LEFT address: 102 5th ave. between 15th and 16th sts . new york
RIGHT address: NA

LEFT addr: NA
RIGHT addr: 102 fifth ave.

LEFT city: NA
RIGHT city: new york city

LEFT class: NA
RIGHT class: 47

LEFT type: NA
RIGHT type: southwestern
",y
"LEFT id: 67
RIGHT id: 130

LEFT phone: 702/733 -8899
RIGHT phone: 702-737-7111

LEFT category: asian 67
RIGHT category: NA

LEFT title: chin \ s
RIGHT title: NA

LEFT address: 3200 las vegas blvd. s las vegas
RIGHT address: NA

LEFT addr: NA
RIGHT addr: 3595 las vegas blvd. s.

LEFT city: NA
RIGHT city: las vegas

LEFT class: NA
RIGHT class: 664

LEFT type: NA
RIGHT type: continental
",n
"LEFT id: 16
RIGHT id: 45

LEFT phone: 213/467 -1108
RIGHT phone: 213-935-5280

LEFT category: californian 16
RIGHT category: NA

LEFT title: patina
RIGHT title: NA

LEFT address: 5955 melrose ave. los angeles
RIGHT address: NA

LEFT addr: NA
RIGHT addr: 7261 melrose ave.

LEFT city: NA
RIGHT city: la

LEFT class: NA
RIGHT class: 579

LEFT type: NA
RIGHT type: hamburgers
",n
"LEFT id: 363
RIGHT id: 244

LEFT phone: 212/472 -4488
RIGHT phone: 212-496-6031

LEFT category: italian 363
RIGHT category: NA

LEFT title: triangolo
RIGHT title: NA

LEFT address: 345 e. 83rd st. new york
RIGHT address: NA

LEFT addr: NA
RIGHT addr: 201 w. 83rd st.

LEFT city: NA
RIGHT city: new york city

LEFT class: NA
RIGHT class: 26

LEFT type: NA
RIGHT type: coffeehouses
",n
"LEFT id: 138
RIGHT id: 223

LEFT phone: 310/392 -3901
RIGHT phone: 310-392-9025

LEFT category: american 135
RIGHT category: NA

LEFT title: gilliland \ s
RIGHT title: NA

LEFT address: 2424 main st. santa monica
RIGHT address: NA

LEFT addr: NA
RIGHT addr: 2709 main st.

LEFT city: NA
RIGHT city: santa monica

LEFT class: NA
RIGHT class: 5

LEFT type: NA
RIGHT type: ` pacific new wave '
",n
"LEFT id: 87
RIGHT id: 305

LEFT phone: 404/221 -6362
RIGHT phone: 404-221-6362

LEFT category: continental 87
RIGHT category: NA

LEFT title: nikolai \ s roof
RIGHT title: NA

LEFT address: 255 courtland st. at harris st. atlanta
RIGHT address: NA

LEFT addr: NA
RIGHT addr: 255 courtland st.

LEFT city: NA
RIGHT city: atlanta

LEFT class: NA
RIGHT class: 87

LEFT type: NA
RIGHT type: continental
",y
"LEFT id: 32
RIGHT id: 107

LEFT phone: 212/355 -7555
RIGHT phone: 212-687-4855

LEFT category: asian 32
RIGHT category: NA

LEFT title: dawat
RIGHT title: NA

LEFT address: 210 e. 58th st. new york
RIGHT address: NA

LEFT addr: NA
RIGHT addr: 210 e. 46th st.

LEFT city: NA
RIGHT city: new york city

LEFT class: NA
RIGHT class: 641

LEFT type: NA
RIGHT type: steakhouses
",n
"LEFT id: 41
RIGHT id: 259

LEFT phone: 212/489 -1515
RIGHT phone: 212-489-1515

LEFT category: french 41
RIGHT category: NA

LEFT title: le bernardin
RIGHT title: NA

LEFT address: 155 w. 51st st. new york
RIGHT address: NA

LEFT addr: NA
RIGHT addr: 155 w. 51st st.

LEFT city: NA
RIGHT city: new york city

LEFT class: NA
RIGHT class: 41

LEFT type: NA
RIGHT type: seafood
",y
"LEFT id: 469
RIGHT id: 318

LEFT phone: 415/362 -0404
RIGHT phone: 415-673-7779

LEFT category: ` greek and middle eastern ' 469
RIGHT category: NA

LEFT title: faz
RIGHT title: NA

LEFT address: 161 sutter st. san francisco
RIGHT address: NA

LEFT addr: NA
RIGHT addr: 777 sutter st.

LEFT city: NA
RIGHT city: san francisco

LEFT class: NA
RIGHT class: 100

LEFT type: NA
RIGHT type: ` french ( new ) '
",n
"LEFT id: 93
RIGHT id: 146

LEFT phone: 404/875 -8424
RIGHT phone: 404-876-3872

LEFT category: italian 93
RIGHT category: NA

LEFT title: veni vidi vici
RIGHT title: NA

LEFT address: 41 14th st. atlanta
RIGHT address: NA

LEFT addr: NA
RIGHT addr: 375 14th st.

LEFT city: NA
RIGHT city: atlanta

LEFT class: NA
RIGHT class: 680

LEFT type: NA
RIGHT type: southern/soul
",n
"LEFT id: 446
RIGHT id: 136

LEFT phone: 702/791 -7111
RIGHT phone: 702-369-6300

LEFT category: asian 446
RIGHT category: NA

LEFT title: mikado
RIGHT title: NA

LEFT address: 3400 las vegas blvd. s las vegas
RIGHT address: NA

LEFT addr: NA
RIGHT addr: 3500 las vegas blvd. s.

LEFT city: NA
RIGHT city: las vegas

LEFT class: NA
RIGHT class: 670

LEFT type: NA
RIGHT type: californian
",n
"LEFT id: 222
RIGHT id: 259

LEFT phone: 212/956 -7100
RIGHT phone: 212-489-1515

LEFT category: french 220
RIGHT category: NA

LEFT title: cite
RIGHT title: NA

LEFT address: 120 w. 51st st. new york
RIGHT address: NA

LEFT addr: NA
RIGHT addr: 155 w. 51st st.

LEFT city: NA
RIGHT city: new york city

LEFT class: NA
RIGHT class: 41

LEFT type: NA
RIGHT type: seafood
",n
"LEFT id: 50
RIGHT id: 268

LEFT phone: 212/759 -5941
RIGHT phone: 212-759-5941

LEFT category: seafood 50
RIGHT category: NA

LEFT title: oceana
RIGHT title: NA

LEFT address: 55 e. 54th st. new york
RIGHT address: NA

LEFT addr: NA
RIGHT addr: 55 e. 54th st.

LEFT city: NA
RIGHT city: new york city

LEFT class: NA
RIGHT class: 50

LEFT type: NA
RIGHT type: seafood
",y
"LEFT id: 92
RIGHT id: 174

LEFT phone: 404/351 -9533
RIGHT phone: 404-237-4116

LEFT category: french 92
RIGHT category: NA

LEFT title: toulouse
RIGHT title: NA

LEFT address: b peachtree rd. atlanta
RIGHT address: NA

LEFT addr: NA
RIGHT addr: 4330 peachtree rd.

LEFT city: NA
RIGHT city: atlanta

LEFT class: NA
RIGHT class: 708

LEFT type: NA
RIGHT type: american
",n
"LEFT id: 433
RIGHT id: 290

LEFT phone: 702/731 -7547
RIGHT phone: 702-734-0410

LEFT category: ` coffee shops/diners ' 433
RIGHT category: NA

LEFT title: cafe roma
RIGHT title: NA

LEFT address: 3570 las vegas blvd. s las vegas
RIGHT address: NA

LEFT addr: NA
RIGHT addr: 2880 las vegas blvd. s.

LEFT city: NA
RIGHT city: las vegas

LEFT class: NA
RIGHT class: 72

LEFT type: NA
RIGHT type: steakhouses
",n
